Labels
(omitted)
WAITING IN DEVGYVER FOR MERGE
IMPEDED
IN DEV QA
IN DEVELOPMENT (local/devgyver, under development)
UNICORN BACKLOG (wip: 1)
JUNIPER BACKLOG (wip: 1+1)
BACKLOG (wip: infinite)
WAITING FOR REPRO
LONGSTANDING (extinguished on its own)
